Id,registration_number,brand,service_interval_km,Leasing_start_km,leasing_limit_km,leasing_start_date,leasing_end_date,current_odometer_km,Current_location_id
22,SK9256X,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,325003,73
23,DW8219T,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,425819,73
24,KT0849H,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,295402,73
25,WXE3763C,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,359594,73
26,LUB4051L,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,308116,73
27,LU2866X,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,364460,73
28,DW7534H,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,326839,73
29,WL5994Z,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,317107,73
30,LUB9264Z,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,271813,73
31,KR8592B,DAF,120000,0,450000,2021-06-26 00:00:00,2024-06-25 00:00:00,331112,73
32,DW3686H,DAF,120000,0,450000,2021-07-12 00:00:00,2024-07-11 00:00:00,320301,73
33,GD5257T,DAF,120000,0,450000,2021-07-12 00:00:00,2024-07-11 00:00:00,279630,73
34,LU6108X,DAF,120000,0,450000,2021-07-12 00:00:00,2024-07-11 00:00:00,286021,73
35,WP7919L,DAF,120000,0,450000,2021-07-12 00:00:00,2024-07-11 00:00:00,312225,73
36,LU1384P,DAF,120000,0,450000,2021-07-12 00:00:00,2024-07-11 00:00:00,289600,73
37,WP7896H,DAF,120000,0,450000,2021-08-07 00:00:00,2024-08-06 00:00:00,314861,73
38,ND9352Y,DAF,120000,0,450000,2021-08-07 00:00:00,2024-08-06 00:00:00,263925,73
39,KRA5649X,DAF,120000,0,450000,2021-08-07 00:00:00,2024-08-06 00:00:00,352221,73
40,ND1003Q,DAF,120000,0,450000,2021-08-07 00:00:00,2024-08-06 00:00:00,340697,73
41,WXE8322J,DAF,120000,0,450000,2021-08-07 00:00:00,2024-08-06 00:00:00,281122,73
42,LUB2699F,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,294108,73
43,WXE4088S,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,381211,73
44,WP2419B,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,373168,73
45,SZ5932T,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,318261,73
46,WXE3603X,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,276627,73
47,ZS2145O,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,275317,73
48,WX8622X,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,276627,73
49,SK9121H,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,363455,233
50,LUB6041A,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,350755,233
51,DW5640R,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,287852,233
52,KR7820A,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,275179,233
53,LUB7330L,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,362188,233
54,ZS8763A,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,349355,233
55,SK7158R,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,334594,233
56,LUB7176J,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,347389,233
57,WLI0906T,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,276979,233
58,WLI1161N,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,284176,233
59,PO3459J,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,234477,233
60,LUB0194J,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,350984,233
61,DW1363O,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,259815,233
62,LB7493U,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,331697,233
63,GD4909L,Scania,90000,0,483128,2021-09-15 00:00:00,2024-09-14 00:00:00,396831,233
64,WLI8972T,Scania,90000,0,449809,2021-10-05 00:00:00,2024-10-04 00:00:00,362857,233
65,KR1288W,Scania,90000,0,448895,2021-10-05 00:00:00,2024-10-04 00:00:00,367893,233
66,KR3256T,Scania,90000,0,439740,2021-10-05 00:00:00,2024-10-04 00:00:00,351791,233
67,WL7016A,Scania,90000,0,483729,2021-10-13 00:00:00,2024-10-12 00:00:00,405786,233
68,GD4630L,Scania,90000,0,463702,2021-10-13 00:00:00,2024-10-12 00:00:00,379368,233
69,WRA5404E,Scania,90000,0,462517,2021-10-24 00:00:00,2024-10-23 00:00:00,372761,233
70,SZ8447W,Scania,90000,0,510055,2021-11-08 00:00:00,2024-11-07 00:00:00,431874,233
71,WRA0304B,Scania,90000,0,516392,2021-11-15 00:00:00,2024-11-14 00:00:00,445331,233
72,WRA7021F,Scania,90000,0,511656,2021-11-24 00:00:00,2024-11-23 00:00:00,396839,233
73,WWL1407H,Scania,90000,0,521499,2021-11-24 00:00:00,2024-11-23 00:00:00,382680,233
74,SZ8927X,Scania,90000,0,519866,2021-11-24 00:00:00,2024-11-23 00:00:00,430165,233
75,WLI5520G,Scania,90000,0,516638,2021-11-24 00:00:00,2024-11-23 00:00:00,435782,233
76,WXE8588B,Scania,120000,0,750000,2021-10-20 00:00:00,2026-10-19 00:00:00,345460,233
77,KR7675I,Scania,120000,0,750000,2021-11-10 00:00:00,2026-11-09 00:00:00,334935,233
78,PO7221C,Scania,120000,0,750000,2021-11-15 00:00:00,2026-11-14 00:00:00,278325,233
79,WRA6536I,Scania,120000,0,750000,2021-11-15 00:00:00,2026-11-14 00:00:00,352260,233
80,DW5428O,Scania,120000,0,750000,2021-11-15 00:00:00,2026-11-14 00:00:00,257067,233
81,PO1797H,Scania,120000,0,750000,2021-11-15 00:00:00,2026-11-14 00:00:00,289069,233
82,WLI2004O,Scania,120000,0,750000,2021-11-21 00:00:00,2026-11-20 00:00:00,230253,233
83,WLI2287A,Scania,120000,0,750000,2021-11-21 00:00:00,2026-11-20 00:00:00,286612,233
84,WX3996C,Scania,120000,0,750000,2021-11-21 00:00:00,2026-11-20 00:00:00,246177,233
85,SZ0582K,Scania,120000,0,750000,2021-11-10 00:00:00,2026-11-09 00:00:00,340881,233
86,KT5039R,Scania,120000,0,750000,2021-11-03 00:00:00,2026-11-02 00:00:00,294499,233
87,DW7720S,Scania,120000,0,750000,2021-11-03 00:00:00,2026-11-02 00:00:00,277472,233
88,ND7590E,Scania,120000,0,750000,2021-11-08 00:00:00,2026-11-07 00:00:00,351115,233
89,SZ5500I,Scania,120000,0,750000,2022-03-05 00:00:00,2027-03-05 00:00:00,293373,233
90,ND6208S,Scania,120000,0,750000,2022-03-05 00:00:00,2027-03-05 00:00:00,292807,233
91,WP1265D,Scania,120000,0,750000,2022-03-05 00:00:00,2027-03-05 00:00:00,308856,233
92,KT6731O,Scania,120000,0,750000,2022-03-05 00:00:00,2027-03-05 00:00:00,216809,233
93,SK7948M,Scania,120000,0,750000,2022-03-05 00:00:00,2027-03-05 00:00:00,261588,233
94,KR0642K,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,268952,233
95,PO8908A,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,236316,233
96,WX9995X,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,155293,233
97,WRA4184N,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,221439,240
98,KRA7939H,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,167793,240
99,KRA8000K,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,269278,240
100,KRA4149H,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,217603,240
101,WLI4715T,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,210821,240
102,GD5667Y,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,198964,240
103,KR4541L,Scania,120000,0,750000,2022-04-24 00:00:00,2027-04-24 00:00:00,178211,240
104,KR5136U,Scania,120000,0,750000,2022-05-15 00:00:00,2027-05-15 00:00:00,175986,240
105,SZ9694T,Scania,120000,0,750000,2022-05-10 00:00:00,2027-05-10 00:00:00,230832,240
106,WXE2270U,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,210046,240
107,WRA1398H,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,207089,240
108,WXE7452Q,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,263847,240
109,ZS6774L,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,270843,240
110,KT4836S,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,191433,240
111,WWL5505G,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,218291,240
112,WL8049L,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,167222,240
113,SZ4034V,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,191927,240
114,WXE1047X,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,218759,240
115,LB4360J,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,177321,240
116,DW7592R,Scania,120000,0,750000,2022-05-06 00:00:00,2027-05-06 00:00:00,141911,240
117,WX7471C,Scania,120000,0,750000,2022-05-08 00:00:00,2027-05-08 00:00:00,184119,240
118,KR7580B,Scania,120000,0,750000,2022-05-08 00:00:00,2027-05-08 00:00:00,164740,240
119,LU5066O,Scania,120000,0,750000,2022-05-10 00:00:00,2027-05-10 00:00:00,209066,240
120,ND4327C,Scania,120000,0,750000,2022-05-10 00:00:00,2027-05-10 00:00:00,247966,240
121,WX6972E,Scania,120000,0,750000,2022-05-10 00:00:00,2027-05-10 00:00:00,202815,240
122,PO2263E,Scania,120000,0,750000,2022-05-10 00:00:00,2027-05-10 00:00:00,284337,240
123,WLI5823W,Scania,120000,0,750000,2022-05-10 00:00:00,2027-05-10 00:00:00,198956,240
124,KR6702W,DAF,120000,0,600000,2023-09-05 00:00:00,2027-09-04 00:00:00,22628,240
125,LU8544G,DAF,120000,0,600000,2023-09-05 00:00:00,2027-09-04 00:00:00,13822,240
126,PO3276I,DAF,120000,0,600000,2023-09-05 00:00:00,2027-09-04 00:00:00,21698,240
127,WL5059I,DAF,120000,0,600000,2023-09-05 00:00:00,2027-09-04 00:00:00,29969,240
128,KRA8087A,DAF,120000,0,600000,2023-09-05 00:00:00,2027-09-04 00:00:00,19885,240
129,WLI8788D,DAF,120000,0,600000,2023-09-05 00:00:00,2027-09-04 00:00:00,21213,240
130,WX6900T,DAF,120000,0,600000,2023-09-05 00:00:00,2027-09-04 00:00:00,28393,240
131,WWL8192M,DAF,120000,0,600000,2023-09-08 00:00:00,2027-09-07 00:00:00,24537,240
132,DW2688Q,DAF,120000,0,600000,2023-09-08 00:00:00,2027-09-07 00:00:00,23148,240
133,WRA8910E,DAF,120000,0,600000,2023-09-08 00:00:00,2027-09-07 00:00:00,22004,240
134,ND7237L,DAF,120000,0,600000,2023-09-08 00:00:00,2027-09-07 00:00:00,15444,240
135,ZS2381S,DAF,120000,0,600000,2023-09-08 00:00:00,2027-09-07 00:00:00,21550,240
136,SZ4702H,DAF,120000,0,600000,2023-09-08 00:00:00,2027-09-07 00:00:00,15455,240
137,LUB1271S,DAF,120000,0,600000,2023-09-08 00:00:00,2027-09-07 00:00:00,16567,240
138,LB9835U,DAF,120000,0,600000,2023-09-08 00:00:00,2027-09-07 00:00:00,14333,240
139,KR3809E,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,32565,69
140,KRA7201M,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,15890,69
141,ZS5578E,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,14160,69
142,LUB6685X,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,25162,69
143,SZ2747V,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,20159,69
144,KRA3675R,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,14532,69
145,WLI9760G,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,20347,69
146,SK0010K,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,25898,69
147,KRA3376S,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,32085,69
148,WXE6307C,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,27695,69
149,DW3884M,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,18204,69
150,LUB6308Z,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,25953,69
151,LUB2170A,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,23367,69
152,WXE2452Y,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,18771,69
153,WL8190B,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,20673,69
154,DW7377G,DAF,120000,0,600000,2023-09-13 00:00:00,2027-09-12 00:00:00,25964,69
155,DW8701S,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,9289,69
156,WP7704W,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,6235,69
157,ND8514G,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,13990,69
158,KT9949G,DAF,120000,0,600000,2023-09-17 00:00:00,2027-09-16 00:00:00,11398,69
159,WX9428E,DAF,120000,0,600000,2023-09-17 00:00:00,2027-09-16 00:00:00,11526,69
160,WLI3554R,DAF,120000,0,600000,2023-09-18 00:00:00,2027-09-17 00:00:00,1113,69
161,WXE7534C,DAF,120000,0,600000,2023-09-18 00:00:00,2027-09-17 00:00:00,13129,69
162,SK8077R,DAF,120000,0,600000,2023-09-22 00:00:00,2027-09-21 00:00:00,1660,69
163,WXE7175H,DAF,120000,0,600000,2023-09-22 00:00:00,2027-09-21 00:00:00,11194,69
164,PO0829F,DAF,120000,0,600000,2023-09-26 00:00:00,2027-09-25 00:00:00,7968,69
165,WRA1147C,DAF,120000,0,600000,2023-09-23 00:00:00,2027-09-22 00:00:00,11238,69
166,WRA1489O,DAF,120000,0,600000,2023-09-23 00:00:00,2027-09-22 00:00:00,12196,69
167,SZ9028B,DAF,120000,0,600000,2023-09-23 00:00:00,2027-09-22 00:00:00,11321,69
168,WRA2735R,DAF,120000,0,600000,2023-09-24 00:00:00,2027-09-23 00:00:00,6800,69
169,KRA9105P,DAF,120000,0,600000,2023-09-26 00:00:00,2027-09-25 00:00:00,20333,69
170,WP7276B,DAF,120000,0,600000,2023-09-25 00:00:00,2027-09-24 00:00:00,20247,69
171,WP5398T,DAF,120000,0,600000,2023-09-25 00:00:00,2027-09-24 00:00:00,6417,69
172,LU5568Z,DAF,120000,0,600000,2023-09-25 00:00:00,2027-09-24 00:00:00,21000,69
173,WP7312B,Scania,120000,0,750000,2021-11-10 00:00:00,2026-11-09 00:00:00,338135,69
174,WPR312B,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,35937,69
175,WP4891B,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,24406,69
176,WP8437B,DAF,120000,0,450000,2021-08-08 00:00:00,2024-08-07 00:00:00,262573,69
177,WP5647B,DAF,120000,0,600000,2023-09-15 00:00:00,2027-09-14 00:00:00,18004,69
178,WP7123B,DAF,120000,0,600000,2023-09-23 00:00:00,2027-09-22 00:00:00,14527,73
179,WP7321B,Scania,120000,0,750000,2021-11-03 00:00:00,2026-11-02 00:00:00,295585,73
180,WP9876B,DAF,120000,0,600000,2023-09-10 00:00:00,2027-09-09 00:00:00,22735,73
